Names,RF_SpT,SVM_SpT,KNN_SpT,SNR,Adopted_SpT
2MASS J03441357+3215242,M8beta,M8beta,M8beta,39,M8beta
2MASS J03441901+3222057,M9,M9,M9,67,L0
CXOU J034429.9+315906,M8,M8beta,M8,42,M8
XMMU J034434.1+321957,M6,M4,d/sdM6,48,d/sdM6
Cl* IC 348 MM 74,L7,L3gamma,L3beta,39,L3beta
[PSZ2003] J034444.9+321411,L6gamma,d/sdL4,L7,47,L2gamma
2MASS J03445148+3219540,L0gamma,L0gamma,L0gamma,25,L0gamma
2MASS J03450377+3221344,M9,M9beta,M9gamma,88,M9gamma
XMMU J034505.1+315752,M9,M8beta,M8,40,M9
Cl* IC 348 LRL 1688,M8beta,M8beta,M8beta,37,M8beta
2MASS J03451212+3209131,M8,M8beta,M8,40,M8
2MASS J03453592+3214416,M9,M9beta,M9,69,M9
PPL1,M8,M8,M8,27,M8
2MASS J03454360+3212317,M8beta,M8beta,M8beta,47,M8beta
Teide 1,M8,M8,M8,27,M8
NPL40,M9,M8,M8,12,M8
2MASS J03511847-1149326,L2,L2,L1beta,28,L1beta
SDSS J035308.54+103056.0,L2beta,L2beta,L2beta,62,L2beta
2MASS J03540135+2316330,M8,M8,M8,278,M8
2MASS J03550477-1032415,M8,M8,M8,201,M8
2MASS J0355201+143929,M9,M9,M9,151,M9
2MASS J03582213-4116144,L3beta,L3beta,L3beta,80,L7
2MASS J04012977-4050448,L0,L0,L0,99,L1
LSPM J0402+1730,d/sdM4,sdM5,d/sdM4,77,d/sdM4
2MASS J04035944+1520502,M7,M7,M7,35,M7
2MASS J04062677-3812102,L1gamma,L1gamma,L1gamma,16,L1gamma
2MASS J04070885+1514565,T5,T5,T5,20,T5
2MASS J0407089-234829,M8,M8,M8,119,M8
2MASS J04081032+0742494,M8,M8,M8,126,M8
2MASSI J0408290-145033,L2beta,L2beta,L2beta,123,L2beta
2MASSI J0409095+210439,L5,L3,L3,80,L3
2MASS J04102390+1459104,L2beta,L2beta,L2beta,52,L2beta
WISE J041054.48+141131.1,T6,T6,T6,2,T6
EPIC 210955775,M4,M4,M4,99,M4
SIMP J04144834+1529007,M9,M9,M9,25,M9
2MASS J04153566+2847417,L0,L0gamma,L0gamma,23,L0gamma
2MASS J04154131+2915078,M8beta,M8beta,M8beta,185,M8beta
2MASS J04154807+2911331,L0gamma,L0gamma,L0gamma,26,L0beta
SIMP J04173264-1345388,L2,L1,L2,26,L2
2MASS J0417374-080000,M8beta,M8beta,M8beta,154,M8beta
2MASS J0417474-212919,M9,M9,M9,102,M9
KPNO 12,L0beta,L0gamma,L0beta,54,L0beta
2MASS J04223057+0723448,L2beta,L2beta,L2beta,35,L2beta
Cl* Melotte   25    DKJ    5044b,M9,M9,M9gamma,105,M9gamma
WISE J04223134+0810127,L1,L1,L1,13,M9gamma
2MASS J04232191-0803051,M9gamma,M9,L1beta,23,L1beta
2MASS J04235322-0006587,M8,M8,M8,132,M8
2MASS J04264449+2756433,M7gamma,M7gamma,M7gamma,175,M7gamma
DENIS J0427270-112713,M8beta,M8beta,M8beta,95,M8beta
2MASS J04284199+1533535,M5,M5,M5,169,M5
KPNO 5,M8gamma,M8gamma,M8,90,M8gamma
KPNO 6,M9gamma,M9gamma,M9gamma,82,M9gamma
LP 655-23B,M8,M8,M8,184,M8
KPNO 7,M9gamma,M9gamma,M9gamma,81,M9gamma
2MASS J04314644+2506236,M6,M6gamma,M6,138,M6
SIMP J04323767-0639501,L5,L3,L2,59,L2
2MASS J04340619+2418508,M8gamma,M8gamma,M8gamma,68,M8gamma
2MASS J04345973+2807017,M9,M9,M9,19,M9
WISE J043535.80+211509.2,sdM9,d/sdM9,d/sdM9,37,d/sdM9
2MASS J04354290+1323449,L3,L3,L3beta,39,L3beta
KPNO 9,L0beta,L0beta,L2beta,74,L2beta
2MASS J04362054-4218523,L2beta,L1beta,L2beta,90,L2beta
2MASS J04362775-4114458,M9gamma,M9,M9gamma,94,M9gamma
WISE J04364275+1901348,L6,L6,L6,22,L5
CFHT 6,M9,M9beta,M9gamma,133,M9
LP 655-48,M9,M9,M9,59,M8
2MASS J04414489+2301513,M9gamma,M9gamma,M9gamma,49,M9gamma
2MASSI J0443058-320209,L4,L4,L4,77,L4
2MASS J04440164+1621324,M7gamma,M7gamma,M7gamma,146,M7gamma
2MASS 04441479+0543573,M8,M8,M8,117,M8
2MASS J04453237-3642258,M8,M8,M8,122,M8
2MASSI J0445538-304820,L1,L1,L1,121,L1
WISE J044633.45-242956.9,T0,L7,d/sdL7,32,d/sdL7
2MASS J04470652-1946392,sdM8,sdM7,sdM8,36,sdM8
2MASS J0447430-193604,L3,L3,L3beta,30,L3beta
WISE J044853.28-193548.6,T5,T5,T5,2,T5
2MASSI J0451009-340214,L1,L1,L1,184,L1
2MASS J04510592+0014394,M9,L0,M9gamma,24,M9gamma
2MASSI J0453264-175154,L2,L2,L2,82,L2
2MASS J04552333+3027366,M8,M8beta,M8,100,M8
WISE J045746.08-020719.2,T3,T3,T3,59,T3
2MASS J04574903+3015195,L0,M9gamma,L0,85,L0
2MASS J04584239-3002061,M6,M6,M7gamma,94,M7gamma
WISE J050003.04-122343.2,T8,T8,T8,1,T8
2MASS J05002100+0330501,L5,L5,L5,212,L5
2MASS J05004808+0442143,L1,L1,L1,161,L1
LEHPM 2-77,M4,M2,M2,21,M2
2MASSI J0502134+144236,M9,M9,M9,118,L0
2MASS J05063725-3405090,M8gamma,M7gamma,M7gamma,12,M7gamma
J05075086-0342464,d/sdM8,d/sdM8,d/sdM8,55,d/sdM8
WISE J050854.88+331920.8,L2,L2,L2,104,L2
2MASS J05103520-4208140,T5,T5,T5,6,T5
2MASS J05104958-1843548,L1,L3,L2,16,L2
PSO J078.9904+31.0171,L0beta,L0gamma,L2beta,27,L2beta
2MASS J05160945-0445499,T5,T6,T6,24,T5
2MASS J05161597-3332046,L3,L3,L3beta,23,L3gamma
2MASS J05170548-4154413,M9,M9,M9,135,M9
WISE J052126.29+102528.4,T7,T7,T7,15,T7
2MASSI J0523382-140302,L2,L2,L2,147,L2
WISE J052536.35+673952.6,T6,T6,T6,4,T6
2MASS J05262592-2615427,M6beta,M6,M8beta,8,M8beta
2MASS J05264348-4455455,L1beta,L1beta,L2beta,72,L2beta
0527-1813,sdM4,sdM4,sdM4,21,sdM4
WISE J052857.68+090104.4,L0beta,M9gamma,L2beta,52,L2beta
2MASS J05301261+6253254,L1,L2,L1,76,L1
2MASS J05314149+6856293,M9,M9,M9,40,M9
2MASS J05341594-0631397,M8gamma,M8gamma,M8gamma,25,M8gamma
2MASS J0536052+022832,M6,M5,d/sdM4,17,M6
2MASS J05363713-0328492,M8,M8,M8,93,M8
[BZR99] S Ori 68,M6,M6,M6,37,M6
HD 37216B,L2beta,L2beta,L2beta,90,L2beta
2MASS J05431887+6422528,L2beta,L2beta,L0beta,107,L1beta
2MASS J05441150-2433010,M8,M8,M8,278,M8
WISE J054601.19-095947.5,T5,T5,T5,8,T5
WISE J05500794+1610519,L3,L3,L3,204,L3
2MASS J06003375-3314268,M8,M8,M8,167,M8
2MASS J06020638+4043588,T5,T5,T5,16,T5
2MASS J06022216+6336391,L2,L1,L2,93,L2
2MASS J06050190-2342260,L0,L0,L0,107,L0
WISE J06052422-0956060,d/sdM5,d/sdM5,d/sdM4,115,d/sdM4
WISE J06074213+4550370,L2,L2,L2,38,L2
LSPM J0607+3445,sdM4,sdM4,sdM4,53,sdM4
2MASS J06085283-2753583,M9gamma,M9gamma,M9gamma,136,M9gamma
LHS 1826,esdM8,esdM6,esdM8,40,esdM8
WISE J061135.13-041024.0,T0,T0,T0,19,T0
SIPS J0614-2019,L2beta,L2beta,L2beta,57,L2beta
2MASS J0614453+650437,M8beta,M8beta,M8beta,17,M8
DENIS-P J0615493-010041,L1,L1,L1,214,L1
WISE J062309.94-045624.6,T9,T7,T7,1,T7
2MASS J06235243+5137023,M8,M8,M8,147,M8
WISE J062442.37+662625.6,L1,L1,L1,89,L1
2MASS J06244595-4521548,L7,L7,L7,87,L7
SDSS J062621.22+002934.2,L0,L1,L0,33,L1
WISE J062720.07-111428.0,T6,T6,T6,15,T6
2MASS J06411840-4322329,L1beta,L2beta,L2beta,125,L2beta
2MASS J06502653-2135576,M6,M6,M6,286,M6
SDSS J065405.63+652805.4,L3gamma,L3,L6,37,L6
2MASS J0656165+333758,M7gamma,M6,d/sdM6,26,M7gamma
2MASS J06575576+4029420,M8beta,M8beta,M8beta,212,M8beta
WISE J07053400-1839256,L8,L8,L8,20,L6
LEHPM 2-436,M8,M8,M8,173,M8
2MASSW J0708213+295035,L6,L6,L6,32,L6
2MASS J0711117+415232,M8gamma,M8gamma,M8beta,17,d/sdM8
DENIS-P J0716478-063037,L1,L1,L1,145,L1
LSPM J0721+0308,sdM4,sdM5,sdM5,62,sdM5
2MASS J07231462+5727081,L1beta,L1beta,L1beta,125,L1beta
WISE J07235262-3309435,L3beta,L3,L3beta,48,L3beta
2MASS J07244848+2506143,L4,L4,L3,52,L3
2MASS J0725509+475632,M6,M6,M6,12,M6
SDSS J07325801+29164400,M8,M8,M8,23,M8
SDSS J07342570+30065792,M8,M8,M8beta,38,M8beta
2MASS J07354882+2720167,L1,L1,L1,32,L1
SDSS J073922.26+661503.5,T2,T2,T1,11,T1
2MASSW J0740096+321203,L6,L6,L6,73,L6
LP 423-14,M8beta,M8beta,M8beta,249,M8beta
2MASS J07415784+0531568,L1beta,L2beta,L2beta,82,L2beta
SDSS J074201.41+205520.5,T5,T5,T5,21,T5
WISE J07421169-1211516,M0,esdM0,esdM0,70,esdM0
SDSS J074653.21+394509.9,M6,M6,M6,167,M6
SDSS J074756.31+394732.9,L0,L0,L0,65,L0
SDSS J074838.61+174332.9,L5,L5,L5,35,L5
SDSS J07500493+3306179,M9,M9,M9,26,M9
SDSS J075054.74+445418.7,d/sdM8,d/sdM8,d/sdM8,84,d/sdM8
LSPM J0752+1809,d/sdM4,d/sdM5,d/sdM4,67,d/sdM4
SDSS J075259.43+413634.6,L1,L1,L1,24,L1
2MASSI J0753321+291711,L2,L1,L2,77,L2
2MASS J07552723+1138485,L1,L2,L2,17,L2
2MASSI J0755480+221218,T5,T5,T5,12,T5
2MASS J07575274+0914103,L5,L3,L2,45,L3
HIP 38939B,T5,T5,T5,12,T5
SDSS J075840.33+324723.4,T2,T2,T2,88,T2
2MASS J08002758+5511346,L1,L2,L1,81,L1
SDSS J080048.13+465825.5,L2beta,L1,L1,71,L1
2MASSW J0801405+462850,L5,L5,L4,40,L5
2MASS J08041429+0330474,M9,L0,M9,114,L0
2MASS J08051104-3158115,M9gamma,M9gamma,M9gamma,120,M9gamma
SDSS J080959.01+443422.2,L7gamma,L7,L7,78,L7
SDSS J081058.60+142038.1,M8,M8,M8,190,M8
SDSS J081110.30+185527.9,L1,L1,L1,97,L1
2MASS J08125319+3721048,L1beta,L1beta,L1beta,26,L2beta
2MASS J08151407+1030117,M8beta,M8beta,M8beta,256,M8beta
SDSS J08175749+1824050,L1,L0,L1,53,L1
SDSS J08181228+3310482,L1,L2,L1,43,L1
2MASS J0818332-003628,d/sdM6,d/sdM5,d/sdM6,30,d/sdM6
2MASS J08192194-1243593,M8gamma,M8,d/sdM8,33,M7gamma
SDSS J081946.02+165853.9,M8,M8,M8,123,M8
WISE J081958.05-033528.5,T4,T4,T4,24,T4
WISE J08211048+6007342,M8beta,M8,M8beta,98,M8beta
WISE J082131.64+144319.2,T5,T5,T5,5,T5
2MASS J08230838+6125208,L2,L2,L2,108,L2
